"","sh","ma","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"113",6000,0.000724832214765101,"seagrass",99.11,NA,0,0.17,NA,0.16,2.05,NA,0,3237.44,NA,239.12,0.07,NA,1.15
"114",10000,0.000724832214765101,"seagrass",98.51,NA,0,0.17,NA,0.16,2.05,NA,0,3228.08,NA,239.12,0.07,NA,1.15
"115",22.7,0.00076510067114094,"seagrass",278.01,NA,0,0.73,NA,0.16,2.54,NA,0,4781.55,NA,239.07,0.01,NA,1.15
"116",100,0.00076510067114094,"seagrass",179.4,NA,0,0.37,NA,0.16,2.35,NA,0,3959.6,NA,239.07,0.02,NA,1.15
"117",500,0.00076510067114094,"seagrass",113.06,NA,0,0.2,NA,0.16,2.12,NA,0,3385.17,NA,239.07,0.04,NA,1.15
"118",1000,0.00076510067114094,"seagrass",104.23,NA,0,0.18,NA,0.16,2.07,NA,0,3276.13,NA,239.07,0.06,NA,1.15
"119",6000,0.00076510067114094,"seagrass",96.94,NA,0,0.17,NA,0.16,2.01,NA,0,3171.67,NA,239.07,0.07,NA,1.15
"120",10000,0.00076510067114094,"seagrass",96.36,NA,0,0.17,NA,0.16,2,NA,0,3162.59,NA,239.07,0.07,NA,1.15
"121",22.7,0.000805369127516779,"seagrass",266.95,NA,0,0.72,NA,0.16,2.45,NA,0,4638.74,NA,239.02,0.01,NA,1.15
"122",100,0.000805369127516779,"seagrass",172.53,NA,0,0.36,NA,0.16,2.28,NA,0,3849.22,NA,239.02,0.02,NA,1.15
"123",500,0.000805369127516779,"seagrass",110.22,NA,0,0.2,NA,0.16,2.08,NA,0,3312.72,NA,239.02,0.05,NA,1.15
"124",1000,0.000805369127516779,"seagrass",101.83,NA,0,0.18,NA,0.16,2.02,NA,0,3208.72,NA,239.02,0.06,NA,1.15
"125",6000,0.000805369127516779,"seagrass",94.83,NA,0,0.17,NA,0.16,1.97,NA,0,3107.67,NA,239.02,0.07,NA,1.15
"126",10000,0.000805369127516779,"seagrass",94.27,NA,0,0.17,NA,0.16,1.96,NA,0,3098.81,NA,239.02,0.07,NA,1.15
"127",22.7,0.000845637583892618,"seagrass",256.67,NA,0,0.72,NA,0.16,2.37,NA,0,4505.33,NA,238.97,0.01,NA,1.15
"128",100,0.000845637583892618,"seagrass",166.17,NA,0,0.36,NA,0.16,2.21,NA,0,3745.95,NA,238.97,0.02,NA,1.15
"129",500,0.000845637583892618,"seagrass",107.51,NA,0,0.2,NA,0.16,2.03,NA,0,3243.19,NA,238.97,0.05,NA,1.15
"130",1000,0.000845637583892618,"seagrass",99.51,NA,0,0.18,NA,0.16,1.98,NA,0,3143.54,NA,238.97,0.06,NA,1.15
"131",6000,0.000845637583892618,"seagrass",92.77,NA,0,0.17,NA,0.16,1.92,NA,0,3045.25,NA,238.97,0.08,NA,1.15
