"","sh","temp","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"136",1000,300.223154362416,"seagrass",183.36,NA,0,0.19,NA,0.16,3.5,NA,0,4861.18,NA,210.43,0.03,NA,1.15
"137",6000,300.223154362416,"seagrass",157.13,NA,0,0.16,NA,0.16,3.23,NA,0,4476.55,NA,210.43,0.04,NA,1.15
"138",10000,300.223154362416,"seagrass",155.3,NA,0,0.16,NA,0.16,3.21,NA,0,4448.17,NA,210.43,0.04,NA,1.15
"139",22.7,300.285570469799,"seagrass",1026.74,NA,0,0.86,NA,0.16,8.47,NA,0,12393.3,NA,209.17,0,NA,1.15
"140",100,300.285570469799,"seagrass",705.47,NA,0,0.61,NA,0.16,6.88,NA,0,9906.55,NA,209.17,0.01,NA,1.15
"141",500,300.285570469799,"seagrass",224.99,NA,0,0.22,NA,0.16,3.88,NA,0,5383.74,NA,209.17,0.02,NA,1.15
"142",1000,300.285570469799,"seagrass",183.34,NA,0,0.19,NA,0.16,3.5,NA,0,4836.98,NA,209.17,0.03,NA,1.15
"143",6000,300.285570469799,"seagrass",157.11,NA,0,0.16,NA,0.16,3.23,NA,0,4454.02,NA,209.17,0.04,NA,1.15
"144",10000,300.285570469799,"seagrass",155.27,NA,0,0.16,NA,0.16,3.21,NA,0,4425.76,NA,209.17,0.04,NA,1.15
"145",22.7,300.347986577181,"seagrass",1026.73,NA,0,0.86,NA,0.16,8.47,NA,0,12331.9,NA,207.92,0,NA,1.15
"146",100,300.347986577181,"seagrass",705.47,NA,0,0.61,NA,0.16,6.88,NA,0,9857.65,NA,207.92,0.01,NA,1.15
"147",500,300.347986577181,"seagrass",224.97,NA,0,0.22,NA,0.16,3.88,NA,0,5357.11,NA,207.92,0.02,NA,1.15
"148",1000,300.347986577181,"seagrass",183.32,NA,0,0.19,NA,0.16,3.5,NA,0,4812.87,NA,207.92,0.03,NA,1.15
"149",6000,300.347986577181,"seagrass",157.08,NA,0,0.16,NA,0.16,3.23,NA,0,4431.57,NA,207.92,0.04,NA,1.15
"150",10000,300.347986577181,"seagrass",155.25,NA,0,0.16,NA,0.16,3.21,NA,0,4403.42,NA,207.92,0.04,NA,1.15
"151",22.7,300.410402684564,"seagrass",1026.73,NA,0,0.86,NA,0.16,8.47,NA,0,12270.83,NA,206.68,0,NA,1.15
"152",100,300.410402684564,"seagrass",705.47,NA,0,0.6,NA,0.16,6.88,NA,0,9808.99,NA,206.68,0.01,NA,1.15
"153",500,300.410402684564,"seagrass",224.96,NA,0,0.22,NA,0.16,3.88,NA,0,5330.59,NA,206.68,0.02,NA,1.15
"154",1000,300.410402684564,"seagrass",183.3,NA,0,0.19,NA,0.16,3.5,NA,0,4788.86,NA,206.68,0.03,NA,1.15
"155",6000,300.410402684564,"seagrass",157.05,NA,0,0.16,NA,0.16,3.23,NA,0,4409.19,NA,206.68,0.04,NA,1.15
"156",10000,300.410402684564,"seagrass",155.22,NA,0,0.16,NA,0.16,3.21,NA,0,4381.15,NA,206.68,0.04,NA,1.15
"157",22.7,300.472818791946,"seagrass",1026.72,NA,0,0.86,NA,0.16,8.47,NA,0,12210.07,NA,205.44,0.01,NA,1.15
"158",100,300.472818791946,"seagrass",705.46,NA,0,0.6,NA,0.16,6.88,NA,0,9760.59,NA,205.44,0.01,NA,1.15
"159",500,300.472818791946,"seagrass",224.94,NA,0,0.22,NA,0.16,3.88,NA,0,5304.19,NA,205.44,0.02,NA,1.15
"160",1000,300.472818791946,"seagrass",183.28,NA,0,0.19,NA,0.16,3.5,NA,0,4764.94,NA,205.44,0.03,NA,1.15
"161",6000,300.472818791946,"seagrass",157.02,NA,0,0.16,NA,0.16,3.23,NA,0,4386.88,NA,205.44,0.04,NA,1.15
"162",10000,300.472818791946,"seagrass",155.19,NA,0,0.16,NA,0.16,3.21,NA,0,4358.95,NA,205.44,0.04,NA,1.15
"163",22.7,300.535234899329,"seagrass",1026.72,NA,0,0.86,NA,0.16,8.47,NA,0,12149.63,NA,204.21,0.01,NA,1.15
"164",100,300.535234899329,"seagrass",705.46,NA,0,0.6,NA,0.16,6.88,NA,0,9712.43,NA,204.21,0.01,NA,1.15
"165",500,300.535234899329,"seagrass",224.92,NA,0,0.22,NA,0.16,3.88,NA,0,5277.9,NA,204.21,0.02,NA,1.15
"166",1000,300.535234899329,"seagrass",183.26,NA,0,0.18,NA,0.16,3.5,NA,0,4741.12,NA,204.21,0.03,NA,1.15
