"","sh","pmax","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"168",10000,0.86241610738255,"seagrass",155.71,NA,0,0.29,NA,0.28,3.22,NA,0,5146.35,NA,413.97,0.14,NA,1.26
"169",22.7,0.875838926174497,"seagrass",1415.16,NA,0,1.58,NA,0.29,11.47,NA,0,19529.35,NA,420.42,0.01,NA,1.26
"170",100,0.875838926174497,"seagrass",1026.68,NA,0,1.21,NA,0.29,9.44,NA,0,15861.83,NA,420.42,0.01,NA,1.26
"171",500,0.875838926174497,"seagrass",265.87,NA,0,0.41,NA,0.29,4.46,NA,0,7168.72,NA,420.42,0.04,NA,1.26
"172",1000,0.875838926174497,"seagrass",200.8,NA,0,0.34,NA,0.29,3.8,NA,0,6081.42,NA,420.42,0.07,NA,1.26
"173",6000,0.875838926174497,"seagrass",157.25,NA,0,0.29,NA,0.29,3.23,NA,0,5177.26,NA,420.42,0.15,NA,1.26
"174",10000,0.875838926174497,"seagrass",153.59,NA,0,0.29,NA,0.29,3.18,NA,0,5088.73,NA,420.42,0.16,NA,1.26
"175",22.7,0.889261744966443,"seagrass",1429.15,NA,0,1.6,NA,0.29,11.58,NA,0,19732.31,NA,426.86,0.01,NA,1.27
"176",100,0.889261744966443,"seagrass",1038.88,NA,0,1.23,NA,0.29,9.53,NA,0,16041.57,NA,426.86,0.01,NA,1.27
"177",500,0.889261744966443,"seagrass",267.26,NA,0,0.42,NA,0.29,4.48,NA,0,7207.68,NA,426.86,0.04,NA,1.27
"178",1000,0.889261744966443,"seagrass",200.84,NA,0,0.34,NA,0.29,3.8,NA,0,6090.2,NA,426.86,0.07,NA,1.27
"179",6000,0.889261744966443,"seagrass",154.75,NA,0,0.3,NA,0.29,3.18,NA,0,5109.36,NA,426.86,0.17,NA,1.27
"180",10000,0.889261744966443,"seagrass",150.62,NA,0,0.3,NA,0.29,3.12,NA,0,5005.88,NA,426.86,0.19,NA,1.27
"181",22.7,0.902684563758389,"seagrass",1443.15,NA,0,1.63,NA,0.3,11.68,NA,0,19935.36,NA,433.31,0.01,NA,1.27
"182",100,0.902684563758389,"seagrass",1051.13,NA,0,1.26,NA,0.3,9.63,NA,0,16221.82,NA,433.31,0.01,NA,1.27
"183",500,0.902684563758389,"seagrass",268.63,NA,0,0.43,NA,0.3,4.5,NA,0,7246.17,NA,433.31,0.04,NA,1.27
"184",1000,0.902684563758389,"seagrass",200.76,NA,0,0.35,NA,0.3,3.8,NA,0,6095.62,NA,433.31,0.08,NA,1.27
"185",6000,0.902684563758389,"seagrass",151.21,NA,0,0.3,NA,0.3,3.11,NA,0,5009.98,NA,433.31,0.2,NA,1.27
"186",10000,0.902684563758389,"seagrass",146.36,NA,0,0.3,NA,0.3,3.03,NA,0,4883.64,NA,433.31,0.22,NA,1.27
"187",22.7,0.916107382550336,"seagrass",1457.15,NA,0,1.65,NA,0.3,11.79,NA,0,20138.49,NA,439.75,0.01,NA,1.28
"188",100,0.916107382550336,"seagrass",1063.41,NA,0,1.28,NA,0.3,9.73,NA,0,16402.57,NA,439.75,0.01,NA,1.28
