"","da","ma","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"96",20,0.00124832214765101,"bistable",103.37,0.49,0,0.44,0.11,0.11,1.23,0.01,0,347.25,26.23,23.08,0.01,0.68,0.69
"97",0,0.00128859060402685,"bistable",100.05,0.73,0,0.43,0.11,0.11,1.2,0.02,0,2387.12,194.66,162.15,0.02,0.68,0.69
"98",0.0208333333333333,0.00128859060402685,"bistable",100.05,0.73,0,0.43,0.11,0.11,1.2,0.02,0,2371.75,193.4,161.11,0.02,0.68,0.69
"99",20,0.00128859060402685,"bistable",100.05,0.73,0,0.43,0.11,0.11,1.2,0.02,0,330.57,26.96,22.45,0.02,0.68,0.69
"100",0,0.00132885906040268,"bistable",96.91,0.96,0,0.42,0.12,0.11,1.17,0.02,0,2336.63,205.1,162.15,0.02,0.68,0.69
"101",0.0208333333333333,0.00132885906040268,"bistable",96.91,0.96,0,0.42,0.12,0.11,1.17,0.02,0,2321.12,203.74,161.07,0.02,0.68,0.69
"102",20,0.00132885906040268,"bistable",96.91,0.96,0,0.42,0.12,0.11,1.17,0.02,0,315.09,27.66,21.87,0.02,0.68,0.69
"103",0,0.00136912751677852,"bistable",93.94,1.21,0,0.42,0.12,0.11,1.15,0.03,0,2288.46,215.67,162.15,0.02,0.67,0.69
"104",0.0208333333333333,0.00136912751677852,"bistable",93.94,1.21,0,0.42,0.12,0.11,1.15,0.03,0,2272.81,214.19,161.04,0.02,0.67,0.69
"105",20,0.00136912751677852,"bistable",93.94,1.21,0,0.42,0.12,0.11,1.15,0.03,0,300.71,28.34,21.31,0.02,0.67,0.69
"106",0,0.00140939597315436,"bistable",91.13,1.46,0,0.41,0.12,0.11,1.12,0.04,0,2242.46,226.35,162.15,0.02,0.67,0.69
"107",0.0208333333333333,0.00140939597315436,"bistable",91.13,1.46,0,0.41,0.12,0.11,1.12,0.04,0,2226.68,224.76,161.01,0.02,0.67,0.69
"108",20,0.00140939597315436,"bistable",91.13,1.46,0,0.41,0.12,0.11,1.12,0.04,0,287.33,29,20.78,0.02,0.67,0.69
"109",0,0.0014496644295302,"bistable",88.46,1.71,0,0.41,0.12,0.11,1.1,0.04,0,2198.47,237.16,162.15,0.02,0.67,0.69
"110",0.0208333333333333,0.0014496644295302,"bistable",88.46,1.71,0,0.41,0.12,0.11,1.1,0.04,0,2182.56,235.45,160.98,0.02,0.67,0.69
"111",20,0.0014496644295302,"bistable",88.46,1.71,0,0.41,0.12,0.11,1.1,0.04,0,274.84,29.65,20.27,0.02,0.67,0.69
"112",0,0.00148993288590604,"bistable",85.93,1.97,0,0.4,0.12,0.11,1.07,0.05,0,2156.36,248.1,162.15,0.02,0.66,0.69
"113",0.0208333333333333,0.00148993288590604,"bistable",85.93,1.97,0,0.4,0.12,0.11,1.07,0.05,0,2140.32,246.26,160.94,0.02,0.66,0.69
"114",20,0.00148993288590604,"bistable",85.93,1.97,0,0.4,0.12,0.11,1.07,0.05,0,263.18,30.28,19.79,0.02,0.66,0.69
"115",0,0.00153020134228188,"bistable",83.52,2.23,0,0.4,0.12,0.11,1.05,0.06,0,2115.99,259.18,162.15,0.02,0.66,0.69
"116",0.0208333333333333,0.00153020134228188,"bistable",83.52,2.23,0,0.4,0.12,0.11,1.05,0.06,0,2099.83,257.2,160.91,0.02,0.66,0.69
"117",20,0.00153020134228188,"bistable",83.52,2.23,0,0.4,0.12,0.11,1.05,0.06,0,252.27,30.9,19.33,0.02,0.66,0.69
"118",0,0.00157046979865772,"bistable",81.23,2.51,0,0.39,0.12,0.11,1.03,0.06,0,2077.27,270.39,162.15,0.02,0.65,0.69
