"","sh","ma","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"70",1e+06,0.00136912751677852,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.04,NA,NA,7.72
"71",22.7,0.00140939597315436,"bistable",91.13,1.46,0,0.41,0.12,0.11,1.12,0.04,0,2226.68,224.76,161.01,0.02,0.67,0.69
"72",1e+06,0.00140939597315436,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.01,NA,NA,7.72
"73",22.7,0.0014496644295302,"bistable",88.46,1.71,0,0.41,0.12,0.11,1.1,0.04,0,2182.56,235.45,160.98,0.02,0.67,0.69
"74",1e+06,0.0014496644295302,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.98,NA,NA,7.72
"75",22.7,0.00148993288590604,"bistable",85.93,1.97,0,0.4,0.12,0.11,1.07,0.05,0,2140.32,246.26,160.94,0.02,0.66,0.69
"76",1e+06,0.00148993288590604,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.94,NA,NA,7.72
"77",22.7,0.00153020134228188,"bistable",83.52,2.23,0,0.4,0.12,0.11,1.05,0.06,0,2099.83,257.2,160.91,0.02,0.66,0.69
"78",1e+06,0.00153020134228188,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.91,NA,NA,7.72
"79",22.7,0.00157046979865772,"bistable",81.23,2.51,0,0.39,0.12,0.11,1.03,0.06,0,2060.99,268.27,160.88,0.02,0.65,0.69
"80",1e+06,0.00157046979865772,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.88,NA,NA,7.72
"81",22.7,0.00161073825503356,"bistable",79.04,2.78,0,0.39,0.12,0.11,1.01,0.07,0,2023.68,279.48,160.85,0.02,0.65,0.69
"82",1e+06,0.00161073825503356,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.85,NA,NA,7.72
"83",22.7,0.0016510067114094,"bistable",76.96,3.07,0,0.38,0.13,0.11,0.99,0.07,0,1987.8,290.83,160.82,0.02,0.65,0.69
"84",1e+06,0.0016510067114094,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.82,NA,NA,7.72
"85",22.7,0.00169127516778524,"bistable",74.96,3.36,0,0.38,0.13,0.11,0.97,0.08,0,1953.28,302.33,160.78,0.02,0.64,0.69
"86",1e+06,0.00169127516778524,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.78,NA,NA,7.72
"87",22.7,0.00173154362416107,"bistable",73.06,3.66,0,0.37,0.13,0.11,0.96,0.09,0,1920.01,313.98,160.75,0.02,0.64,0.69
"88",1e+06,0.00173154362416107,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.75,NA,NA,7.72
"89",22.7,0.00177181208053691,"bistable",71.24,3.96,0,0.37,0.13,0.11,0.94,0.09,0,1887.93,325.78,160.72,0.02,0.63,0.69
"90",1e+06,0.00177181208053691,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.72,NA,NA,7.72
"91",22.7,0.00181208053691275,"bistable",69.49,4.27,0,0.36,0.13,0.11,0.92,0.1,0,1856.97,337.75,160.69,0.02,0.63,0.69
"92",1e+06,0.00181208053691275,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.69,NA,NA,7.72
"93",22.7,0.00185234899328859,"bistable",67.82,4.6,0,0.36,0.13,0.11,0.91,0.11,0,1827.05,349.89,160.65,0.02,0.62,0.69
"94",1e+06,0.00185234899328859,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.65,NA,NA,7.72
