"","sh","pmax","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"81",22.7,1.70805369127517,"bistable",1967.73,7.54,0,3.03,0.5,0.38,15.79,0.17,0,28523.88,980.09,554.04,0.01,0.99,0.94
"82",1e+06,1.70805369127517,"bare",NA,NA,0,NA,NA,0.38,NA,NA,0,NA,NA,554.04,NA,NA,7.97
"83",22.7,1.73825503355705,"bistable",1999.82,8.08,0,3.09,0.52,0.39,16.03,0.18,0,28989.69,1020.54,563.83,0.01,1,0.94
"84",1e+06,1.73825503355705,"bare",NA,NA,0,NA,NA,0.39,NA,NA,0,NA,NA,563.83,NA,NA,7.97
"85",22.7,1.76845637583893,"bistable",2031.92,8.63,0,3.15,0.54,0.39,16.27,0.19,0,29455.65,1061.98,573.63,0.01,1.01,0.95
"86",1e+06,1.76845637583893,"bare",NA,NA,0,NA,NA,0.39,NA,NA,0,NA,NA,573.63,NA,NA,7.98
"87",22.7,1.79865771812081,"bistable",2064.02,9.2,0,3.2,0.56,0.4,16.51,0.2,0,29921.74,1104.45,583.43,0.01,1.03,0.95
"88",1e+06,1.79865771812081,"bare",NA,NA,0,NA,NA,0.4,NA,NA,0,NA,NA,583.43,NA,NA,7.99
"89",22.7,1.82885906040268,"bistable",2096.14,9.79,0,3.26,0.58,0.41,16.75,0.21,0,30387.97,1147.98,593.23,0.01,1.04,0.96
"90",1e+06,1.82885906040268,"bare",NA,NA,0,NA,NA,0.41,NA,NA,0,NA,NA,593.23,NA,NA,7.99
"91",22.7,1.85906040268456,"bistable",2128.26,10.4,0,3.31,0.6,0.41,16.99,0.22,0,30854.33,1192.62,603.03,0.01,1.06,0.97
"92",1e+06,1.85906040268456,"bare",NA,NA,0,NA,NA,0.41,NA,NA,0,NA,NA,603.03,NA,NA,8
"93",22.7,1.88926174496644,"bistable",2160.38,11.03,0,3.37,0.62,0.42,17.23,0.23,0,31320.8,1238.41,612.83,0.01,1.07,0.97
"94",1e+06,1.88926174496644,"bare",NA,NA,0,NA,NA,0.42,NA,NA,0,NA,NA,612.83,NA,NA,8.01
"95",22.7,1.91946308724832,"bistable",2192.52,11.68,0,3.42,0.64,0.43,17.47,0.24,0,31787.38,1285.38,622.63,0.01,1.09,0.98
"96",1e+06,1.91946308724832,"bare",NA,NA,0,NA,NA,0.43,NA,NA,0,NA,NA,622.63,NA,NA,8.01
"97",22.7,1.9496644295302,"bistable",2224.65,12.36,0,3.48,0.66,0.43,17.71,0.25,0,32254.06,1333.59,632.43,0.01,1.1,0.98
"98",1e+06,1.9496644295302,"bare",NA,NA,0,NA,NA,0.43,NA,NA,0,NA,NA,632.43,NA,NA,8.02
"99",22.7,1.97986577181208,"bistable",2256.8,13.05,0,3.54,0.68,0.44,17.94,0.27,0,32720.84,1383.07,642.23,0.01,1.12,0.99
"100",1e+06,1.97986577181208,"bare",NA,NA,0,NA,NA,0.44,NA,NA,0,NA,NA,642.23,NA,NA,8.02
"101",22.7,2.01006711409396,"bistable",2288.94,13.78,0,3.59,0.7,0.45,18.18,0.28,0,33187.71,1433.88,652.03,0.01,1.14,1
"102",1e+06,2.01006711409396,"bare",NA,NA,0,NA,NA,0.45,NA,NA,0,NA,NA,652.03,NA,NA,8.03
"103",22.7,2.04026845637584,"bistable",2321.09,14.52,0,3.65,0.73,0.45,18.42,0.29,0,33654.67,1486.07,661.83,0.01,1.16,1
"104",1e+06,2.04026845637584,"bare",NA,NA,0,NA,NA,0.45,NA,NA,0,NA,NA,661.83,NA,NA,8.04
"105",22.7,2.07046979865772,"bistable",2353.25,15.3,0,3.7,0.75,0.46,18.66,0.3,0,34121.7,1539.7,671.63,0.01,1.18,1.01
"106",1e+06,2.07046979865772,"bare",NA,NA,0,NA,NA,0.46,NA,NA,0,NA,NA,671.63,NA,NA,8.04
"107",22.7,2.1006711409396,"bistable",2385.4,16.1,0,3.76,0.78,0.47,18.89,0.31,0,34588.8,1594.81,681.43,0.01,1.2,1.02
"108",1e+06,2.1006711409396,"bare",NA,NA,0,NA,NA,0.47,NA,NA,0,NA,NA,681.43,NA,NA,8.05
